ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON
HG;0/0;1;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;3;16997;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;2;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;27;67643;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;3;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;6;25207;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;4;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;18;107535;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;5;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;18;46483;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;6;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;1;2582;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;7;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;9;23241;0;;EUR;PLN;385.43;510620;;PL;;;CAC7A4FAFC;35
HG;0/0;8;;;20260131;20260131;C47F2B628F;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;2;11147;4145;;EUR;PLN;385.43;110788;;PL;;;CAC7A4FAFC;10
HG;0/0;9;;;20260131;20260131;C3676D03E8;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;1;1642;406;;EUR;PLN;385.43;110788;;PL;;;CAC7A4FAFC;10
HG;0/0;10;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-3;-16997;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;11;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-27;-67643;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;12;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-6;-25207;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;13;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-18;-107535;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;14;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-18;-46483;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;15;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-1;-2582;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;16;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-9;-23241;0;;EUR;PLN;385.43;510620;;PL;;;9832C7853A;35
HG;0/0;17;;;20260131;20260131;C47F2B628F;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-2;-11147;-4145;;EUR;PLN;385.43;110788;;PL;;;9832C7853A;10
HG;0/0;18;;;20260131;20260131;C3676D03E8;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;-1;-1642;-406;;EUR;PLN;385.43;110788;;PL;;;9832C7853A;10
HG;200423/26;1;;;20260126;20260126;4623AF2168;DB5C8B1857;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;30505;6266;;EUR;PLN;382.59;110788;;PL;;;CAC7A4FAFC;10
HG;200321/26;1;;;20260126;20260126;C6A92B6DFB;44362832F8;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;6;10.lut;543;;EUR;PLN;382.59;110788;;PL;;;CAC7A4FAFC;10
HG;200321/26;2;;;20260126;20260126;C3676D03E8;44362832F8;;PL03;;;;PL/2064;;;;;;;1;1;9005;9005;10;16273;7269;;EUR;PLN;382.59;110788;;PL;;;CAC7A4FAFC;10
HG;0/0;19;;;20260126;20260126;CBB23CB5DF;E7FC3B41C0;;PL02;;;;PL/2189;;;;;;;1;3;9005;9005;1;36518;29178;;EUR;PLN;382.59;210225;;PL;;;79E2D47638;
HG;110/26;1;;;20260126;20260126;4E3581E67B;FBDD1D36A1;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;1;7652;0;;EUR;PLN;382.59;510620;;PL;;;CAC7A4FAFC;10
HG;110/26;2;;;20260126;20260126;E602E0965B;FBDD1D36A1;;PL03;;;;PL/2334;;;;;;;1;1;9005;9005;2;335700;212371;;EUR;PLN;382.59;110788;;PL;;;CAC7A4FAFC;10
HG;0/0;20;;;20260126;20260126;CBB23CB5DF;E7FC3B41C0;;PL02;;;;PL/2189;;;;;;;1;3;9005;9005;-1;-36518;-29178;;EUR;PLN;1;210225;;PL;;;79E2D47638;
HG;89/26;1;;;20260126;20260126;CBB23CB5DF;E7FC3B41C0;;PL02;;;;PL/5840;;;;;;;1;3;9005;9005;1;36488;29178;;EUR;PLN;382.27;210225;;PL;;;79E2D47638;
HG;200322/26;1;;;20260131;20260131;4E3581E67B;CE8E8BD6B4;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;43961;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200323/26;1;;;20260131;20260131;4E3581E67B;BA1A99B484;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;125767;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200324/26;1;;;20260131;20260131;4E3581E67B;6080B1CE91;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;72631;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200324/26;2;;;20260131;20260131;4E3581E67B;C12955221C;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;72631;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200324/26;3;;;20260131;20260131;4E3581E67B;32A5ACBBBC;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;72631;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200324/26;4;;;20260131;20260131;4E3581E67B;CC8C1047F0;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;19114;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200324/26;5;;;20260131;20260131;4E3581E67B;C3BC6E5768;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;19114;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200324/26;6;;;20260131;20260131;4E3581E67B;528D11231F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;19114;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200325/26;1;;;20260131;20260131;4E3581E67B;59CF49EE64;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;97479;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200326/26;1;;;20260131;20260131;4E3581E67B;9D3EEA43B7;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102831;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200327/26;1;;;20260131;20260131;4E3581E67B;36C45359CF;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;36316;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200327/26;2;;;20260131;20260131;4E3581E67B;0B35E02902;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;36316;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200328/26;1;;;20260131;20260131;4E3581E67B;EB7E24C0EE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;74543;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200329/26;1;;;20260131;20260131;4E3581E67B;3A416D513B;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;105124;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200330/26;1;;;20260131;20260131;4E3581E67B;4A0AB53093;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;67280;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200331/26;1;;;20260131;20260131;4E3581E67B;F5AD9E14B7;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102066;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200331/26;2;;;20260131;20260131;4E3581E67B;E5DD928B06;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102066;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200331/26;3;;;20260131;20260131;4E3581E67B;01AA57FC0A;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102066;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200331/26;4;;;20260131;20260131;4E3581E67B;6F76963A76;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102066;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200332/26;1;;;20260131;20260131;4E3581E67B;6967904FCF;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95568;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200332/26;2;;;20260131;20260131;4E3581E67B;07F0DA0895;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95568;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200332/26;3;;;20260131;20260131;4E3581E67B;30B6E11215;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95568;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200332/26;4;;;20260131;20260131;4E3581E67B;AF8F26053E;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95568;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200333/26;1;;;20260131;20260131;4E3581E67B;EC4A768FFD;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;67280;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200334/26;1;;;20260131;20260131;4E3581E67B;CA860AE98B;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;70338;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200335/26;1;;;20260131;20260131;4E3581E67B;4108E92A84;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;103595;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200335/26;2;;;20260131;20260131;4E3581E67B;D4AD647A49;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;103595;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200335/26;3;;;20260131;20260131;4E3581E67B;9D667D8A1D;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;103595;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200335/26;4;;;20260131;20260131;4E3581E67B;6FC84B1A05;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;103595;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200335/26;5;;;20260131;20260131;4E3581E67B;1E963341B1;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;103595;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200336/26;1;;;20260131;20260131;4E3581E67B;0ECFFEFF86;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;157113;0;;EUR;PLN;382.27;510620;;PL;;;3382E5BE80;25
HG;200337/26;1;;;20260131;20260131;4E3581E67B;247BA07AD9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;16;32416;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200337/26;2;;;20260131;20260131;4E3581E67B;247BA07AD9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;7;23548;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200337/26;3;;;20260131;20260131;4E3581E67B;247BA07AD9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;18043;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200337/26;4;;;20260131;20260131;4E3581E67B;247BA07AD9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;4511;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200338/26;1;;;20260131;20260131;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;19;50479;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200338/26;2;;;20260131;20260131;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;37;163929;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200338/26;3;;;20260131;20260131;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;27;167411;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200338/26;4;;;20260131;20260131;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;9;18441;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200338/26;5;;;20260131;20260131;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;22;58533;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200338/26;6;;;20260131;20260131;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;13;39905;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200339/26;1;;;20260131;20260131;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;18;51606;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200339/26;2;;;20260131;20260131;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;12;48625;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200339/26;3;;;20260131;20260131;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;9;19954;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200339/26;4;;;20260131;20260131;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;15597;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200340/26;1;;;20260131;20260131;4E3581E67B;5A3AB1AA8C;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;14;110782;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200340/26;2;;;20260131;20260131;4E3581E67B;5A3AB1AA8C;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;14;18731;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200340/26;3;;;20260131;20260131;4E3581E67B;5A3AB1AA8C;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;36086;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200341/26;1;;;20260131;20260131;4E3581E67B;80509E1103;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;28877;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200341/26;2;;;20260131;20260131;4E3581E67B;80509E1103;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;15551;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200342/26;1;;;20260131;20260131;4E3581E67B;9CFB977506;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;36;74313;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200342/26;2;;;20260131;20260131;4E3581E67B;9CFB977506;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;5;17202;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200342/26;3;;;20260131;20260131;4E3581E67B;9CFB977506;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;38533;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200342/26;4;;;20260131;20260131;4E3581E67B;9CFB977506;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;23;41323;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200342/26;5;;;20260131;20260131;4E3581E67B;9CFB977506;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;5390;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200342/26;6;;;20260131;20260131;4E3581E67B;9CFB977506;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;5;8983;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200343/26;1;;;20260131;20260131;4E3581E67B;C0EADC1740;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;11;8410;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200344/26;1;;;20260131;20260131;4E3581E67B;F6A1578A9F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;94291;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200344/26;2;;;20260131;20260131;4E3581E67B;F6A1578A9F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;10;216128;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200344/26;3;;;20260131;20260131;4E3581E67B;F6A1578A9F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;118790;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200344/26;4;;;20260131;20260131;4E3581E67B;F6A1578A9F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;154865;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;1;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;50;256503;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;2;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;74;568306;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;3;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;17;189629;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;4;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;141;107800;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;5;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;28;127479;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;6;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;40;182113;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200345/26;7;;;20260131;20260131;4E3581E67B;3FA892FA38;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;49787;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;1;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;9;20987;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;2;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;52600;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;3;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;2;18655;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;4;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;10;15291;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;5;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;7;8295;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;6;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;4;9327;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200346/26;7;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;2599;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200347/26;1;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;6996;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200347/26;2;;;20260131;20260131;4E3581E67B;EDAB0FC0EB;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;3;3555;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200348/26;1;;;20260131;20260131;4E3581E67B;47ACA6EA69;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;14;50307;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200348/26;2;;;20260131;20260131;4E3581E67B;47ACA6EA69;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;7;33716;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200348/26;3;;;20260131;20260131;4E3581E67B;47ACA6EA69;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;15;14335;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200348/26;4;;;20260131;20260131;4E3581E67B;47ACA6EA69;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;8;13456;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200348/26;5;;;20260131;20260131;4E3581E67B;47ACA6EA69;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;4;6728;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;1;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;12;59833;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;2;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;10;76760;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;3;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;69;2462949;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;4;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;91;69573;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;5;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;9;32092;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;6;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;27294;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200349/26;7;;;20260131;20260131;4E3581E67B;F6A1C995E9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;40;248781;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;1;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;3;16858;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;2;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;27;67088;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;3;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;6;25000;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;4;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;18;106653;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;5;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;18;46102;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;6;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;1;2561;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;7;;;20260131;20260131;4E3581E67B;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;9;23051;0;;EUR;PLN;382.27;510620;;PL;;;9832C7853A;35
HG;200350/26;8;;;20260131;20260131;C47F2B628F;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;2;11055;4063;;EUR;PLN;382.27;110788;;PL;;;9832C7853A;10
HG;200350/26;9;;;20260131;20260131;C3676D03E8;6635D19BFB;;PL03;;;;PL/1841;;;;;;;1;1;9005;9005;1;1628;546;;EUR;PLN;382.27;110788;;PL;;;9832C7853A;10
HG;200351/26;1;;;20260131;20260131;4E3581E67B;D2E10DAF9A;;PL03;;;;PL/1706;;;;;;;1;1;9005;9005;1;98577;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;90/26;1;;;20260131;20260131;4E3581E67B;0EECFBFD9B;;PL03;;;;PL/3335;;;;;;;1;1;9005;9005;1;82529;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;90/26;2;;;20260131;20260131;4E3581E67B;BC4DF062EF;;PL03;;;;PL/3335;;;;;;;1;1;9005;9005;1;82529;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;90/26;3;;;20260131;20260131;4E3581E67B;4CD58A4B63;;PL03;;;;PL/3335;;;;;;;1;1;9005;9005;1;82529;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;90/26;4;;;20260131;20260131;4E3581E67B;4B8CAAC7B8;;PL03;;;;PL/3335;;;;;;;1;1;9005;9005;1;82529;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
HG;90/26;5;;;20260131;20260131;4E3581E67B;09E463B85D;;PL03;;;;PL/3335;;;;;;;1;1;9005;9005;1;82529;0;;EUR;PLN;382.08;510620;;PL;;;3382E5BE80;25
